City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,margaret river,-33.95,115.0667,287.77,85,8,4.65,AU,1699280590
138,felnac,46.1167,21.15,289.78,61,40,1.54,RO,1699280591
139,oriximina,-1.7656,-55.8661,308.7,38,27,2.31,BR,1699280592
140,salinopolis,-0.6136,-47.3561,303.58,66,31,5.53,BR,1699280593
141,dagda,56.0951,27.5372,280.29,94,100,2.82,LV,1699280594
142,west island,-12.1568,96.8225,299.14,78,40,6.69,CC,1699280595
143,castillos,-34.1667,-53.8333,293.7,57,0,4.01,UY,1699280596
144,yibin,28.7667,104.6238,292.78,69,20,1.08,CN,1699280597
145,georgetown,5.4112,100.3354,302.11,84,40,1.54,MY,1699280442
146,jucas,-6.5253,-39.5275,307.65,38,86,2.77,BR,1699280599
147,chipinge,-20.1883,32.6236,303.87,25,11,4.48,ZW,1699280600
148,taoudenni,22.6783,-3.9836,309.09,10,1,2.44,ML,1699280601
149,mbandaka,0.0487,18.2603,301.49,67,100,0.69,CD,1699280602
150,bodaybo,57.8506,114.1933,264.49,95,100,0.35,RU,1699280603
151,tateyama,34.9833,139.8667,297.65,84,100,12.02,JP,1699280604
152,puerto ayora,-0.7393,-90.3518,300.13,84,96,3.58,EC,1699280605
153,roma,43.2128,-75.4557,280.02,76,0,3.09,US,1699280310
154,happy valley-goose bay,53.3168,-60.3315,272.32,51,75,14.4,CA,1699280594
155,qamdo,31.1667,97.2333,271.36,32,3,0.63,CN,1699280608
156,lodja,-3.4833,23.4333,298.75,77,96,2.16,CD,1699280609
157,kili,5.6439,169.1211,299.82,88,100,7.83,MH,1699280611
158,edson,53.5835,-116.4356,268.23,93,0,1.03,CA,1699280612
159,ribeira grande,38.5167,-28.7,292.37,59,20,5.81,PT,1699280613
160,fortuna,40.5982,-124.1573,287.96,96,100,0.0,US,1699280614
161,ilulissat,69.2167,-51.1,270.16,43,75,8.23,GL,1699280615
162,belozersk,60.0326,37.7957,279.81,92,100,8.49,RU,1699280616
163,bredasdorp,-34.5322,20.0403,293.77,56,100,6.94,ZA,1699280617
164,port hedland,-20.3167,118.5667,302.18,54,45,2.57,AU,1699280618
165,lethem,3.3803,-59.7968,307.17,47,92,4.26,GY,1699280619
166,plaza huincul,-38.926,-69.2086,294.34,10,65,2.68,AR,1699280458
167,manokwari,-0.8667,134.0833,299.42,85,100,2.58,ID,1699280621
168,mogocha,53.7333,119.7667,261.33,48,100,0.28,RU,1699280622
169,cienaga,11.007,-74.2476,304.25,74,20,3.09,CO,1699280623
170,tadine,-21.55,167.8833,293.32,73,5,4.75,NC,1699280624
171,lata,40.1629,-8.3327,287.64,73,42,4.06,PT,1699280625
172,dryden,49.7833,-92.7503,271.31,93,100,4.63,CA,1699280626
173,nemuro,43.3236,145.575,288.49,90,100,14.9,JP,1699280627
174,selfoss,63.9331,-20.9971,277.62,57,90,5.9,IS,1699280628
175,onguday,50.75,86.15,263.11,91,100,0.55,RU,1699280629
176,kavaratti,10.5669,72.642,301.38,75,87,4.66,IN,1699280630
177,bambanglipuro,-7.95,110.2833,298.97,85,100,1.79,ID,1699280631
178,ketchikan,55.3422,-131.6461,282.41,93,100,3.09,US,1699280633
179,kalmunai,7.4167,81.8167,300.21,81,76,2.29,LK,1699280634
180,ballina,-28.8667,153.5667,289.14,78,58,1.58,AU,1699280635
181,mount pleasant,32.7941,-79.8626,292.62,71,0,1.54,US,1699280636
182,northam,51.0333,-4.2167,285.16,79,18,8.27,GB,1699280637
183,san patricio,28.017,-97.5169,297.07,81,100,3.29,US,1699280638
184,jianshui,23.6363,102.8264,288.79,97,56,1.52,CN,1699280639
185,tshabong,-26.05,22.45,308.58,8,64,9.59,BW,1699280640
186,longyearbyen,78.2186,15.6401,259.06,72,20,6.17,SJ,1699280641
187,chandler,33.3062,-111.8412,294.52,31,0,3.6,US,1699280642
188,candon,17.1947,120.4517,299.08,86,24,1.63,PH,1699280643
189,loiza,18.4313,-65.8802,304.71,72,20,1.54,PR,1699280644
190,fada,9.5667,8.3,305.28,35,93,2.4,NG,1699280645
191,alice springs,-23.7,133.8833,293.9,18,9,0.0,AU,1699280646
192,camapua,-19.5314,-54.0439,311.01,17,0,1.37,BR,1699280648
193,san antonio de pale,-1.4014,5.6325,299.52,83,53,5.8,GQ,1699280649
194,tokar,18.4254,37.729,304.31,61,48,5.99,SD,1699280651
195,xining,36.6167,101.7667,278.89,22,9,0.75,CN,1699280652
196,mogadishu,2.0371,45.3438,300.94,73,100,2.02,SO,1699280397
197,elliot lake,46.3834,-82.6331,279.56,93,100,6.53,CA,1699280654
198,itacare,-14.2775,-38.9967,298.45,90,100,0.67,BR,1699280655
199,nar'yan-mar,67.6713,53.087,274.88,100,100,8.94,RU,1699280656
200,iwanai,42.9744,140.5089,288.76,98,100,2.8,JP,1699280658
201,prince rupert,54.3161,-130.3201,281.98,98,100,4.12,CA,1699280536
202,san pedro,14.35,121.0167,301.72,84,75,2.57,PH,1699280660
203,vilyuchinsk,52.9306,158.4028,269.22,74,28,2.55,RU,1699280661
204,chonchi,-42.6128,-73.8092,287.1,91,92,2.68,CL,1699280662
205,skjern,55.95,8.5,284.55,88,20,1.54,DK,1699280663
206,ormara,25.2088,64.6357,300.19,62,0,3.5,PK,1699280664
207,codrington,-38.2667,141.9667,286.54,89,5,2.02,AU,1699280665
208,al kharj,24.155,47.3346,304.47,26,9,3.52,SA,1699280666
209,iskateley,67.6803,53.1512,274.83,100,100,8.94,RU,1699280667
210,sablayan,12.8346,120.769,301.13,77,24,2.61,PH,1699280668
211,sarangani,5.4033,125.4636,301.99,76,35,3.9,PH,1699280669
212,broome,42.2506,-75.833,279.08,75,0,3.09,US,1699280670
213,altai,46.3722,96.2583,261.08,83,43,1.49,MN,1699280671
214,noumea,-22.2763,166.4572,292.14,77,23,3.49,NC,1699280672
215,thunder bay,48.4001,-89.3168,277.14,93,100,2.57,CA,1699280673
216,santa luzia,-19.7697,-43.8514,300.8,54,42,3.6,BR,1699280675
217,murghob,38.1702,73.9667,271.56,36,52,0.6,TJ,1699280676
218,yuzhno-kurilsk,44.0306,145.8556,288.36,95,100,10.24,RU,1699280677
219,djibo,14.1022,-1.6306,311.1,13,30,3.57,BF,1699280678
220,urangan,-25.3,152.9,294.62,68,5,5.77,AU,1699280679
221,quellon,-43.1167,-73.6167,285.17,94,84,5.33,CL,1699280680
222,acarau,-2.8856,-40.12,304.11,55,78,6.95,BR,1699280681
223,morondava,-20.2833,44.2833,300.65,72,0,6.12,MG,1699280683
224,whitehorse,60.7161,-135.0538,271.58,86,75,9.26,CA,1699280684
225,tortosa,40.8125,0.5216,293.29,31,4,6.84,ES,1699280685
226,calca,-13.3333,-71.95,292.79,60,79,2.0,PE,1699280686
227,enewetak,11.3474,162.3373,301.43,78,100,7.84,MH,1699280687
228,sorong,-0.8833,131.25,299.15,88,76,3.45,ID,1699280688
229,tanjung pandan,-2.75,107.65,299.39,85,96,1.88,ID,1699280689
230,broken hill,-31.95,141.4333,297.09,33,55,4.34,AU,1699280690
231,zhangye,38.9342,100.4517,276.9,31,22,0.87,CN,1699280691
232,uludere,37.445,42.8617,287.52,56,2,1.88,TR,1699280692
233,radford,37.1318,-80.5764,287.04,71,0,0.0,US,1699280693
234,port elizabeth,-33.918,25.5701,293.2,84,100,5.14,ZA,1699280464
235,chu,43.5983,73.7614,283.57,43,100,3.25,KZ,1699280695
236,pangai,-19.8,-174.35,297.47,72,100,5.99,TO,1699280696
237,talcahuano,-36.7167,-73.1167,286.97,72,75,4.63,CL,1699280459
238,patterson,37.4716,-121.1297,290.25,84,90,2.05,US,1699280698
239,kayan,16.9056,96.5631,303.23,83,5,2.9,MM,1699280699
240,aroma,15.8167,36.1333,308.46,28,65,2.71,SD,1699280700
241,al ghayzah,16.2079,52.176,301.23,64,0,5.18,YE,1699280701
242,contamana,-7.3333,-75.0167,297.86,80,100,0.21,PE,1699280702
243,padangsidempuan,1.3667,99.2667,296.12,99,100,0.87,ID,1699280704
244,carnarvon,-24.8667,113.6333,294.5,82,97,8.58,AU,1699280705
245,barrouallie,13.2333,-61.2667,301.94,84,75,4.12,VC,1699280706
246,kelso,46.1468,-122.9084,285.13,95,100,3.13,US,1699280707
247,ancud,-41.8697,-73.8203,284.95,94,100,5.35,CL,1699280678
248,granada,37.25,-3.25,285.99,41,6,4.26,ES,1699280707
249,antsirabe,-19.85,47.0333,292.68,75,83,0.95,MG,1699280505
250,cidreira,-30.1811,-50.2056,292.88,69,7,7.04,BR,1699280711
251,maceio,-9.6658,-35.7353,302.84,65,75,4.63,BR,1699280602
252,kolokani,13.5728,-8.0339,311.09,9,5,3.18,ML,1699280714
253,togur,58.3631,82.8265,267.67,89,96,6.71,RU,1699280716
254,dhuusamarreeb,5.535,46.3861,298.76,79,100,2.49,SO,1699280717
255,la sarre,48.8002,-79.1996,269.41,95,100,4.88,CA,1699280718
256,vernon,50.2581,-119.2691,279.98,93,100,2.06,CA,1699280719
257,yarmouth,41.7057,-70.2286,283.2,74,100,5.81,US,1699280720
258,san andres,12.5847,-81.7006,300.16,94,40,1.54,CO,1699280721
259,corumba,-19.0092,-57.6533,306.1,27,0,4.12,BR,1699280722
260,touros,-5.1989,-35.4608,303.06,55,64,5.57,BR,1699280714
261,nikfer,37.4054,29.1373,292.8,47,0,2.46,TR,1699280724
262,oranjemund,-28.55,16.4333,292.05,66,44,5.55,NA,1699280725
263,dhidhdhoo,6.8833,73.1,300.65,75,58,0.54,MV,1699280726
264,san luis de la loma,17.2706,-100.8939,299.11,79,11,1.53,MX,1699280727
265,marand,38.4329,45.7749,288.32,39,0,0.73,IR,1699280728
266,fairmont,39.4851,-80.1426,283.31,78,72,1.96,US,1699280729
267,kharp,66.8014,65.8081,265.77,96,100,1.41,RU,1699280730
268,minas de marcona,-15.2119,-75.1103,290.57,67,69,5.06,PE,1699280732
269,playa blanca,28.8643,-13.8281,298.26,64,46,10.48,ES,1699280733
270,west sayville,40.7279,-73.0976,284.94,69,20,5.14,US,1699280734
271,san julian,21.0167,-102.1667,284.03,51,5,1.13,MX,1699280735
272,kilindoni,-7.9139,39.6668,300.19,79,100,4.69,TZ,1699280737
273,puerto baquerizo moreno,-0.9,-89.6,300.7,65,40,5.66,EC,1699280738
274,owando,-0.4819,15.8999,302.78,62,100,1.26,CG,1699280739
275,batamshinskiy,50.5594,58.2747,279.17,73,100,4.83,KZ,1699280740
276,el granada,37.5027,-122.4694,290.26,91,100,5.66,US,1699280741
277,zeya,53.75,127.2667,260.09,70,0,2.28,RU,1699280742
278,greymouth,-42.4667,171.2,280.37,84,8,3.2,NZ,1699280743
279,sola,-13.8833,167.55,299.51,81,100,8.82,VU,1699280744
280,wajir,1.7471,40.0573,299.13,94,75,2.06,KE,1699280745
281,colac,-38.3333,143.5833,288.8,83,16,2.59,AU,1699280746
282,sawai madhopur,25.9833,76.3667,298.61,31,3,1.44,IN,1699280747
283,gomez palacio,25.5667,-103.5,289.08,51,75,2.57,MX,1699280748
284,yulinshi,38.2906,109.7494,275.59,29,0,3.45,CN,1699280749
285,nadi,-17.8,177.4167,297.15,83,40,1.54,FJ,1699280750
286,gabane,-24.6667,25.7822,304.88,27,99,3.43,BW,1699280751
287,princeville,45.7668,-61.2985,279.06,68,100,1.54,CA,1699280752
288,kailua-kona,19.6406,-155.9956,297.32,71,0,2.57,US,1699280753
289,utrik,11.2278,169.8474,300.96,72,100,9.43,MH,1699280754
290,richards bay,-28.783,32.0377,300.54,67,49,7.62,ZA,1699280478
291,avarua,-21.2078,-159.775,295.18,64,75,4.63,CK,1699280758
292,hanzhong,33.0728,107.0303,284.59,61,0,0.49,CN,1699280499
293,tsiombe,-25.3,45.4833,298.54,68,35,7.51,MG,1699280760
294,papao,-17.75,-149.55,296.97,85,52,5.17,PF,1699280761
295,nogliki,51.8333,143.1667,267.23,72,92,9.83,RU,1699280762
296,roberval,48.5168,-72.2324,269.4,74,75,2.06,CA,1699280763
